Version,VersionID,Version Name,File Name,buggy
0,12317843,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,false
0,12317843,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,true
0,12317843,4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,false
0,12317843,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,false
0,12317843,4.0.0,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,false
0,12317843,4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,true
0,12317843,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,false
0,12317843,4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,false
0,12317843,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,false
0,12317843,4.0.0,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,false
0,12317843,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,true
0,12317843,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,false
0,12317843,4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,false
0,12317843,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,false
0,12317843,4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,true
0,12317843,4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,false
0,12317843,4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,false
0,12317843,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,false
0,12317843,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,true
0,12317843,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,true
0,12317843,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,true
0,12317843,4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,false
0,12317843,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,true
0,12317843,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,false
0,12317843,4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,false
0,12317843,4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,false
0,12317843,4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,false
0,12317843,4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,true
0,12317843,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,true
0,12317843,4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,true
0,12317843,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,true
